File,compound_names,mz,rt,into,Group,Sample
C_4_20D.mzML,P,116.1,660.3486,121759486,C,20D
C_4_20D.mzML,S,106.051183,879.99186,156738081.8,C,20D
C_4_20D.mzML,T,120.1,769.1889,337472123.2,C,20D
C_4_20D.mzML,Y,182.1,705.00786,33623122.08,C,20D
C_4_20D.mzML,V,118.1,663.02286,3378553913,C,20D
S12_1_10D.mzML,A,90.1,675.22836,71434507.22,S5,10D
S12_1_10D.mzML,R,175.1,676.83288,35302588.97,S5,10D
S12_1_10D.mzML,D,134,950.27304,95392297.66,S5,10D
S12_1_10D.mzML,Cystine,241,660.52026,11527.40358,S5,10D
S12_1_10D.mzML,E,148.1,848.92062,464491402.7,S5,10D
S12_1_10D.mzML,G,76,759.2502,36421792.93,S5,10D
S12_1_10D.mzML,H,156.1,728.76414,204066920.5,S5,10D
S12_1_10D.mzML,I/L,132.1,821.57568,46900744.09,S5,10D
S12_1_10D.mzML,K,147.1,821.57568,2439068901,S5,10D
S12_1_10D.mzML,M,150.1,850.2576,21739978.84,S5,10D
S12_1_10D.mzML,F,166.1,665.8686,28323554.82,S5,10D
S12_1_10D.mzML,P,116.1,665.60124,117682011,S5,10D
S12_1_10D.mzML,S,106.0533527,878.60424,228563038.8,S5,10D
S12_1_10D.mzML,T,120.1,763.79628,127921261.6,S5,10D
S12_1_10D.mzML,Y,182.1,702.02202,35386775.73,S5,10D
S12_1_10D.mzML,V,118.1,665.60124,1235270549,S5,10D
S12_1_20D.mzML,A,90.1,671.874,55169563.67,S5,20D
S12_1_20D.mzML,R,175.1,746.7519,72601945.27,S5,20D
S12_1_20D.mzML,D,134,955.27476,54555853.15,S5,20D
S12_1_20D.mzML,Cystine,241,746.7519,15263.17286,S5,20D
S12_1_20D.mzML,E,148.1,810.96246,236833058,S5,20D
S12_1_20D.mzML,G,76,752.1003,28194537.02,S5,20D
S12_1_20D.mzML,H,156.1,769.75002,185490759.7,S5,20D
S12_1_20D.mzML,I/L,132.1,811.4973,34195223.34,S5,20D
S12_1_20D.mzML,K,147.1,811.4973,2824445224,S5,20D
S12_1_20D.mzML,M,150.1,809.61402,13829195.66,S5,20D
S12_1_20D.mzML,F,166.1,839.10846,25305813.2,S5,20D
S12_1_20D.mzML,P,116.1,661.1772,187153183.3,S5,20D
S12_1_20D.mzML,S,106.0525203,865.5831,119293285.9,S5,20D
S12_1_20D.mzML,T,120.1,756.11166,138715526.3,S5,20D
S12_1_20D.mzML,Y,182.1,701.82516,45744177.15,S5,20D
S12_1_20D.mzML,V,118.1,662.24688,1162147777,S5,20D
S12_2_10D.mzML,A,90.1,675.48834,64018648.78,S5,10D
S12_2_10D.mzML,R,175.1,677.36022,48441147.58,S5,10D
S12_2_10D.mzML,D,134,950.0412,79068307.92,S5,10D
S12_2_10D.mzML,Cystine,241,707.04396,14512.63827,S5,10D
S12_2_10D.mzML,E,148.1,848.68866,432095177.3,S5,10D
S12_2_10D.mzML,G,76,758.92362,39342736.61,S5,10D
S12_2_10D.mzML,H,156.1,731.11188,211364433.4,S5,10D
S12_2_10D.mzML,I/L,132.1,820.233,46266297.99,S5,10D
S12_2_10D.mzML,K,147.1,821.8539,2631218647,S5,10D
S12_2_10D.mzML,M,150.1,846.28176,23573277.96,S5,10D
S12_2_10D.mzML,F,166.1,663.18696,30429001.63,S5,10D
S12_2_10D.mzML,P,116.1,671.47698,119765663.6,S5,10D
S12_2_10D.mzML,S,106.0532204,877.57002,238219476.7,S5,10D
S12_2_10D.mzML,T,120.1,762.6675,130471557.1,S5,10D
S12_2_10D.mzML,Y,182.1,702.23034,38673190.58,S5,10D
S12_2_10D.mzML,V,118.1,663.45432,1292032676,S5,10D
S12_2_20D.mzML,A,90.1,673.45722,61067224.57,S5,20D
S12_2_20D.mzML,R,175.1,673.72458,82979003.45,S5,20D
S12_2_20D.mzML,D,134,961.34424,47443506.18,S5,20D
S12_2_20D.mzML,Cystine,241,829.15818,8567.364139,S5,20D
S12_2_20D.mzML,E,148.1,811.19664,260677303.2,S5,20D
S12_2_20D.mzML,G,76,752.88126,38841471.85,S5,20D
S12_2_20D.mzML,H,156.1,764.91516,178735694.4,S5,20D
S12_2_20D.mzML,I/L,132.1,810.12696,34693371.78,S5,20D
S12_2_20D.mzML,K,147.1,811.19664,2808184889,S5,20D
S12_2_20D.mzML,M,150.1,830.78682,12795056.61,S5,20D
S12_2_20D.mzML,F,166.1,810.6618,24312202.78,S5,20D
S12_2_20D.mzML,P,116.1,686.56086,186307015.4,S5,20D
S12_2_20D.mzML,S,106.0500399,865.28406,172519641.4,S5,20D
S12_2_20D.mzML,T,120.1,755.5554,93868367.81,S5,20D
S12_2_20D.mzML,Y,182.1,702.60612,36044565.73,S5,20D
S12_2_20D.mzML,V,118.1,660.08622,1026400084,S5,20D
S12_3_10D.mzML,A,90.1,675.87126,83764121.86,S5,10D
S12_3_10D.mzML,R,175.1,675.87126,51654542.99,S5,10D
S12_3_10D.mzML,D,134,959.20464,81194589.36,S5,10D
S12_3_10D.mzML,Cystine,241,712.50804,86530.89182,S5,10D
S12_3_10D.mzML,E,148.1,848.7096,515110384.7,S5,10D
S12_3_10D.mzML,G,76,757.43472,43709614.81,S5,10D
S12_3_10D.mzML,H,156.1,819.49398,202197636.6,S5,10D
S12_3_10D.mzML,I/L,132.1,821.09844,54209713.56,S5,10D
S12_3_10D.mzML,K,147.1,821.9007,3115061732,S5,10D
